Id,Name,Name (Bangla),Code,Agency,Type,Division,District,City Corporation,Upazila,Paurasava,Union,Private
1,Dhaka Divisional Health Office,"পরিচালক (স্বাস্থ্য) এর কার্যালয়, ঢাকা বিভাগ, ঢাকা",10000001,DGHS,Divisional Level Office,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,,,0
2,Directorate General of Health Services (DGHS),"স্বাস্থ্য অধিদপ্তর, মহাখালী",10000002,DGHS,Directorate General or Directorate,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
3,"Institute of Epidemiology, Disease Control & Research (IEDCR)","রোগতত্ব, রোগ নিয়ন্ত্রন ও গবেষণা ইনষ্টিটিউট ( আইইডিসিআর)",10000003,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
4,Institute of Public Health (IPH),জনস্বাস্থ্য  ইনস্টিটিউট,10000004,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
5,Institute Of Public Health Nutrition (IPHN),জনস্বাস্থ্য পুষ্টি প্রতিষ্ঠান,10000005,DGHS,Public Health Institution,Dhaka,Dhaka,,,,,0
6,National Institute Of Cancer Research And Hospital (NICR&H),"জাতীয় ক্যান্সার গবেষণা  ইনস্টিটিউট ও হাসপাতাল, মহাখালী, ঢাকা- ১২১২",10000006,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
7,National Institute Of Cardiovascular Disease (NICVD),জাতীয় হৃদরোগ  ইনস্টিটিউট,10000007,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
8,National Institute of Diseases of the Chest & Hospital (NIDCH),জাতীয় বক্ষব্যাধি ইনস্টিটিউট ও হাসপাতাল (এনআইডিসিএইচ)।,10000008,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
9,National Institute of Kidney Disease and Urology (NIKDU),জাতীয় কিডনি ডিজিজেজ এন্ড ইউরোলজী ইনস্টিটিউট,10000009,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
10,National Institute Of Mental Health (NIMH),ন্যাশনাল ইনসস্টিউট অব মেণ্টাল হেলথ,10000010,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
11,National Institute Of Ophthalmology (NIO),জাতীয় চক্ষু বিজ্ঞান ইনষ্টিটিউট ও হাসপাতাল,10000011,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,0
12,National Institute of Preventive and Social Medicine (NIPSOM),জাতীয় প্রতিষেধক ও সামাজিক চিকিৎসা প্রতিষ্ঠান (নিপসম),10000012,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
13,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),জাতীয় অর্থোপেডিক হাসপাতাল ও পুনর্বাসন প্রতিষ্ঠান (নিটোর),10000013,DGHS,Postgraduate Institute & Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
14,National Center For Control Of Rheumatic Fever & Heart Disease,জাতীয় বাতজ্বর ও হৃদরোগ নিয়ন্ত্রণ কেন্দ্র,10000014,DGHS,Specialized Health Center,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,0
15,A. G. B. Urban Dispensary,এ জি বি আরবান ডিসপেনসারি,10000015,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,,,0
16,Armanitola School Health Clinic,আরমানিটোলা স্কুল হেলথ ক্লিনিক,10000016,DGHS,School Health Clinic,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
17,Azimpur School Health Clinic,আজিমপুর স্কুল হেলথ ক্লিনিক,10000017,DGHS,School Health Clinic,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
18,B. G. Press Urban Dispensary,বিজি প্রেস আরবান ডিসপেনসারি,10000018,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,,,0
19,Banga Bhaban Urban Dispensary,বঙ্গভবন আরবান ডিসপেনসারি,10000019,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,,,0
20,Bangladesh Secretariat Clinic,বাংলাদেশ সচিবালয় ক্লিনিক,10000020,DGHS,Other Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,,,0
21,Chattogram Airport Health Office,চট্টগ্রাম বিমানবন্দর স্বাস্থ্য অফিস,10000022,DGHS,Port Health Office,Chattogram,Chattogram,Chattogram City Corporation,Chittogram Port,,,0
22,National Asthma Center,"জাতীয় অ্যাজমা সেন্টার, জাতীয় বক্ষব্যাধি ইনস্টিটিউট ও হাসপাতাল, মহাখালী, ঢাকা",10000024,DGHS,Specialized Health Center,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
23,Dhaka Civil Surgeon Office,ঢাকা সিভিল সার্জন অফিস,10000025,DGHS,District Level Office,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
24,Center For Medical Education,সেন্টার ফর মেডিকেল এডুকেশন,10000026,DGHS,Public Health Institution,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,,,0
25,Dhaka Dental College,ঢাকা ডেন্টাল কলেজ,10000027,DGHS,Dental College,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
26,Dhaka Dental College Hospital,ঢাকা ডেন্টাল কলেজ হাসপাতাল,10000028,DGHS,Dental College Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
27,Govt. Homeopathic Medical College,সরকারী হোমিওপ্যাথিক মেডিকেল কলেজ,10000029,DGHS,College of Alternative Medicine,Dhaka,Dhaka,Dhaka North City Corperation,Bhasan Tek,,,0
28,Dhaka Institute of Health Technology,ঢাকা ইনস্টিটিউট অফ হেলথ টেকনোলজি,10000030,DGHS,Institute of Health Technology,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
29,Dhaka Leprosy Hospital,ঢাকা কুষ্ঠ হাসপাতাল,10000031,DGHS,Leprosy Hospital,Dhaka,Dhaka,,,,,0
30,Dhaka Medical College,ঢাকা মেডিকেল কলেজ,10000032,DGHS,Medical College,Dhaka,Dhaka,Dhaka South City Corporation,Shahbag,,,0
31,Dhaka Medical College Hospital,ঢাকা মেডিকেল কলেজ হাসপাতাল,10000033,DGHS,Medical College Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Shahbag,,,0
32,"Sarkari Karmachari Hospital- Fulbaria, Dhaka-1000",সরকারি কর্মচারী হাসপাতাল,10000034,MOPA,Special Purpose Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Ramna,,,0
33,Gandaria Urban Dispensary,গেন্ডারিয়া আরবান ডিসপেনসারি,10000037,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Gendaria,,,0
34,Green Road Urban Dispensary,গ্রীন রোড আরবান ডিসপেনসারি,10000038,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,New Market,,,0
35,Hajari Bag Urban Dispensary,হাজারীবাগ আরবান ডিসপেনসারি,10000039,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,0
36,Johnson Road Urban Dispensary,জনসন রোড আরবান ডিসপেনসারি,10000040,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Bangshal,,,0
37,Jhigatala Urban Dispensary,ঝিগাতলা আরবান ডিসপেনসারি,10000041,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Dhanmondi,,,0
38,Khilgoan Urban Dispensary,খিলগাও আরবান ডিসপেনসারি,10000042,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Khilgaon,,,0
39,Mirpur Old Colony Urban Dispensary,মিরপুর ওল্ড কলোনি আরবান ডিসপেনসারি,10000043,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,,,0
40,Mirpur Section -10 Urban Dispensary,মিরপুর-১০ আরবান ডিসপেনসারি,10000044,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,,,0
41,Mirpur Section -1 Urban Dispensary,মিরপুর-১ আরবান ডিসপেনসারি,10000045,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,,,0
42,Motijheel Urban Dispensary,মতিঝিল আরবান ডিসপেনসারি,10000046,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Motijheel,,,0
43,Mohammadpur (rayar Bazar) Urban Dispensary,মোহাম্মদপুর (রায়েরবাজার) আরবান ডিসপেনসারি,10000047,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,0
44,Nayatola Urban Dispensary,নয়াটোলা আরবান ডিসপেনসারি,10000048,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Banani,,,0
45,Palashi Barac Urban Dispensary,পলাশী ব্যারাক আরবান ডিসপেনসারি,10000049,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka North City Corperation,Mirpur,,,0
46,Shaheed Suhrawardy Medical College,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,10000050,DGHS,Medical College,Dhaka,Dhaka,,,,,0
47,Shaheed Suhrawardy Medical College Hospital,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ হাসপাতাল।,10000051,DGHS,Medical College Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
48,Sher-e-bangla Nagar School Health Clinic,শের-ই-বাংলা নগর স্কুল হেলথ ক্লিনিক,10000052,DGHS,School Health Clinic,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
49,Sher-e-bangla Nagor Urban Dispensary,শের-ই-বাংলা নগর ডিসপেনসারি,10000053,DGHS,Urban Dispensary,Dhaka,Dhaka,Dhaka South City Corporation,Sher-e-bangla Nagar,,,0
50,Shyamoli 250 bed TB Hospital (National TB Control Project),"২৫০ শয্যা বিশিষ্ট টিবি হাসপাতাল (জাতীয় যক্ষ্মা নিয়ন্ত্রণ প্রকল্প) শ্যামলী, ঢাকা- ১২০৭।",10000054,DGHS,Chest Disease Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Sher-e-bangla Nagar,,,0
51,Sir Salimullah Medical College,"স্যার সলিমুল্লাহ মেডিকেল কলেজ, ঢাকা।",10000055,DGHS,Medical College,Dhaka,Dhaka,,,,,0
52,Sir Salimullah Medical College Hospital,স্যার সলিমুল্লাহ মেডিকেল কলেজ  মিটফোর্ড হাসপাতাল,10000056,DGHS,Medical College Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,,,0
53,"Tejgaon Health Complex, Dhaka","তেজগাঁও স্বাস্থ্য কমপ্লেক্স, ঢাকা",10000057,DGHS,31-bed Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,,,0
54,Tb Control And Training Institute,টিবি কন্ট্রোল এন্ড ট্রেনিং ইন্সিটিটিউট,10000058,DGHS,Chest Disease Hospital,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,,,0
55,Amta Union Health Sub Center,আমতা ইউনিয়ন উপ- স্বাস্থ্য কেন্দ্র,10000059,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Amta,0
56,Baleswar(sutipara) Union Health Sub Center,বলেশ্বর (সুতিপাড়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000060,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Suti Para,0
57,Balia Union Health Sub Center,বালিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000061,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Balia,0
58,Gangutia Union Health Sub Center,গাঙ্গুটিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000062,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Gangutia,0
59,Mohishashi(sanora) Union Health Sub Center,মহিষাশি(সানোরা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000063,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Sanora,0
60,Dhamrai Upazila Health Complex,ধামরাই উপজেলা স্বাস্থ্য কমপ্লেক্স,10000064,DGHS,Upazila Health Complex,Dhaka,Dhaka,Dhaka N/A,Dhamrai,,,0
61,Simulia(bhararia) Union Health Sub Center,সিমুলিয়া (ভারারিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000065,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Bhararia,0
62,Suapur Union Health Sub Center,সুয়াপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000066,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dhamrai,Unions Of Dhamrai Upazila,Suapur,0
63,Malikanda(narisha) Union Health Sub Center,মালিকান্দা (নারিশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000067,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dohar,Unions Of Dohar Upazila,Narisha,0
64,Muksudpur Union Health Sub Center,মুকসুদপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000068,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Dohar,Unions Of Dohar Upazila,Muksudpur,0
65,Dohar Upazila Health Complex,দোহার উপজেলা স্বাস্থ্য কমপ্লেক্স,10000069,DGHS,Upazila Health Complex,Dhaka,Dhaka,Dhaka N/A,Dohar,Dohar Paurashava,Urban Ward No-05,0
66,Dhaka Infectious Disease Hospital,ঢাকা সংক্রামক ব্যাধি হাসপাতাল,10000070,DGHS,Infectious Disease Hospital,Dhaka,Dhaka,Dhaka North City Corperation,Gulshan,,,0
67,Hazratpur Union Health Sub Center,হজরতপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000071,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Keraniganj,Unions Of Keraniganj Upazila,Hazratpur,0
68,Kalatia Uh&fwc,কলাতিয়া ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000072,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Dhaka,Dhaka N/A,Keraniganj,Unions Of Keraniganj Upazila,Kalatia,0
69,Jinjira 20 bed Hospital,জিনজিরা ২০ শয্যা বিশিষ্ট হাসপাতাল,10000073,DGHS,20-bed Hospital,Dhaka,Dhaka,Dhaka N/A,Keraniganj,,,0
70,Keraniganj Upazila Health Complex,কেরানীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000074,DGHS,Upazila Health Complex,Dhaka,Dhaka,Dhaka N/A,Keraniganj,Unions Of Keraniganj Upazila,Sakta,0
71,Talepur Union Health Sub Center,তালেপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000075,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Keraniganj,Unions Of Keraniganj Upazila,Hazratpur,0
72,Teguria Union Health Sub Center,তেগুরিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000076,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Keraniganj,Unions Of Keraniganj Upazila,Tegharia,0
73,Barua Khali Union Health Sub Center,বারুয়াখালী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000077,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Nawabganj,Unions Of Nawabganj Upazila,Baruakhali,0
74,Churain Union Health Sub Center,চুরাইন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000078,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Nawabganj,Unions Of Nawabganj Upazila,Churain,0
75,Nawabganj Union Health Sub Center,নবাবগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000079,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Nawabganj,Unions Of Nawabganj Upazila,Jantrail,0
76,Nawabganj Upazila Health Complex,নবাবগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000080,DGHS,Upazila Health Complex,Dhaka,Dhaka,Dhaka N/A,Nawabganj,,,0
77,Aminbazar Union Health Sub Center,আমিনবাজার ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000081,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Savar,Unions Of Savar Upazila,Amin Bazar,0
78,Birulia Union Health Sub Center,বিরুলিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000082,DGHS,Union Health Sub Center,Dhaka,Dhaka,Dhaka N/A,Savar,Unions Of Savar Upazila,Biralia,0
79,Savar Upazila Health Complex,সাভার উপজেলা স্বাস্থ্য কমপ্লেক্স,10000083,DGHS,Upazila Health Complex,Dhaka,Dhaka,Dhaka N/A,Savar,,Urban Ward No-06,0
80,Kamargram(gopalpur) Union Health Sub Center,কামারগ্রাম(গোপালপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000084,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Alfadanga,Unions Of Alfadanga Upazila,Gopalpur,0
81,Alfadanga Upazila Health Complex,আলফাডাঙ্গা উপজেলা স্বাস্থ্য কমপ্লেক্স,10000085,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Alfadanga,,,0
82,Chandra Bazar Uh&fwc,চন্দ্র বাজার ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000086,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Bhanga,,,0
83,Duair Uh&fwc,দুয়াইর ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000087,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Bhanga,,,0
84,Manikdah Uh&fwc,মানিকদহ ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000088,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Bhanga,,,0
85,Bhanga Upazila Health Complex,ভাঙ্গা উপজেলা স্বাস্থ্য কমপ্লেক্স,10000089,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Bhanga,Bhanga Paurashava,Urban Ward No-09,0
86,Pathrail(azimnagar) Uh&fwc,পাথরাইল (আজিমনগর) ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000090,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Bhanga,,,0
87,Bangaswari(chandpur) Union Health Sub Center,বঙ্গেশ্বরী (চাঁদপুর) ইউনিয়ন উপ- স্বাস্থ্য কেন্দ্র,10000091,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Faridpur Paurashava,Urban Ward No-02,0
88,Kadirdi(satair) Union Health Sub Center,কাদিরদি (সাতাইর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000092,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Boalmari,Unions Of Boalmari Upazila,Satair,0
89,Khamarpara(hoshpur) Union Health Sub Center,খামারপাড়া (হষপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000093,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Boalmari,Unions Of Boalmari Upazila,Boalmari,0
90,Khorsuti(moyna) Union Health Sub Center,খরসুতি (ময়না) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000094,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Boalmari,Unions Of Boalmari Upazila,Moyna,0
91,Boalmari Upazila Health Complex,বোয়ালমারী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000095,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Boalmari,Boalmari Paurashava,,0
92,Rupapath Union Health Sub Center,রুপাপাথ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000096,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Boalmari,Unions Of Boalmari Upazila,Rupapat,0
93,Char Haziganj Union Health Sub Center,চরহাজিগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000097,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Char Bhadrasan,Unions Of Char Bhadrasan Upazila,Char Bhadrasan,0
94,Charbhadrason Upazila Health Complex,চরভদ্রাশন উপজেলা স্বাস্থ্য কমপ্লেক্স,10000098,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Char Bhadrasan,,,0
95,Bilmamudpur Union Health Sub Center,বিলমামুদপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000099,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Unions Of Faridpur Sadar Upazila,Majchar,0
96,Ishangopalpur Union Health Sub Center,ঈষানগোপালপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000100,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Unions Of Faridpur Sadar Upazila,Ishan Gopalpur,0
97,Kanaipur Union Health Sub Center,কানাইপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000101,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Unions Of Faridpur Sadar Upazila,Kanaipur,0
98,Krishnanagar Union Health Sub Center,কৃষ্ণনগর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000102,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Unions Of Faridpur Sadar Upazila,Krishnanagar,0
99,Faridpur (sadar) Upazila Health Office,ফরিদপুর (সদর) উপজেলা স্বাস্থ্য অফিস,10000103,DGHS,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,,,0
100,Faridpur Civil Surgeon Office,ফরিদপুর সিভিল সার্জন অফিস,10000104,DGHS,District Level Office,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Faridpur Paurashava,Urban Ward No-07,0
101,Faridpur General Hospital,ফরিদপুর জেনারেল হাসপাতাল,10000105,DGHS,District/General Hospital,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Faridpur Paurashava,,0
102,Faridpur Medical Assistants' Training School (MATS),ফরিদপুর মেডিকলে এসিস্টেন্ট ট্রেনিং স্কুল (ম্যাটস্),10000106,DGHS,Medical Assistants` Training School,Dhaka,Faridpur,,,,,0
103,Faridpur Medical College,ফরিদপুর মেডিকেল কলেজ,10000107,DGHS,Medical College,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,,,0
104,Faridpur Medical College Hospital,ফরিদপুর মেডিকেল কলেজ হাসপাতাল,10000108,DGHS,Medical College Hospital,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Faridpur Paurashava,,0
105,Faridpur School Health Clinic,ফরিদপুর স্কুল হেলথ ক্লিনিক,10000109,DGHS,School Health Clinic,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,,,0
106,Faridpur Chest Disease Clinic,ফরিদপুর বক্ষব্যাধি ক্লিনিক,10000110,DGHS,Chest Disease Clinic,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,Unions Of Faridpur Sadar Upazila,Aliabad,0
107,Faridpur Chest Disease Hospital,ফরিদপুর যক্ষা পৃথকীকরণ হাসপাতাল,10000111,DGHS,Chest Disease Hospital,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,,,0
108,Faridpur Trauma Center,ফরিদপুর ট্রমা সেন্টার,10000112,DGHS,Trauma Center,Dhaka,Faridpur,Faridpur N/A,Faridpur Sadar,,,0
109,Modhukhali Upazila Health Complex,মধুখালী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000113,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Madhukhali,,,0
110,Gopaldi(raipur) Union Health Sub Center,গোপালদি(রায়পুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000114,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Madhukhali,Unions Of Madhukhali Upazila,Noapara,0
111,Mathurapur(gozna) Union Health Sub Center,মথুরাপুর (গাজনা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000115,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Madhukhali,Unions Of Madhukhali Upazila,Gajna,0
113,Bhabukdia Uh&fwc,ভাবুকদিয়া ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000117,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Unions Of Nagarkanda Upazila,Dangi,0
114,Chandhat(charjesordi) Union Health Sub Center,চাঁদহাট(চরযশোরদী)  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000118,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Unions Of Nagarkanda Upazila,Char Jasordi,0
115,Laskardia Union Health Sub Center,লস্করদিয়া ইউনিয়ন উপ-সাস্থ্য কেন্দ্র,10000119,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Unions Of Nagarkanda Upazila,Laskardia,0
116,Nagarkanda Upazila Health Complex,নগরকান্দা উপজেলা স্বাস্থ্য কমপ্লেক্স,10000120,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Nagarkanda Paurashava,Urban Ward No-05,0
117,Rahutpara(gatti) Union Health Sub Center,রাহুতপাড়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000121,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Saltha,Unions Of Saltha Upazila,Ramkantapur,0
118,Ramkantapur Union Health Sub Center,রামকান্তপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000122,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Saltha,Unions Of Saltha Upazila,Ramkantapur,0
119,Talma Union Health Sub Center,তালমা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000123,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Unions Of Nagarkanda Upazila,Talma,0
120,Akoterchar Union Health Sub Center,আকতেরচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000124,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Sadarpur,Unions Of Sadarpur Upazila,Akter Char,0
